2026-01-05 13:35:01,684 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:35:07,029 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:35:12,449 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:35:17,913 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:35:39,200 | INFO     | ml_optimizer | ✅ Histórico ML carregado: 73 trades válidos
2026-01-05 13:35:39,210 | INFO     | ml_optimizer | ✅ Q-table carregada: 7 símbolos
2026-01-05 13:35:39,210 | INFO     | ml_optimizer | ✅ ML Optimizer v3.1 inicializado
2026-01-05 13:35:39,212 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:35:39,212 | INFO     | XP3_FOREX    | 🚀 XP3 PRO FOREX BOT v4.0 - AUDITORIA COMPLETA
2026-01-05 13:35:39,212 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:35:39,216 | INFO     | XP3_FOREX    | 📊 Conta: 52659795 | Balance: $985,014.05
2026-01-05 13:35:39,224 | INFO     | XP3_FOREX    | 🚀 Fast Loop iniciado
2026-01-05 13:35:39,227 | INFO     | XP3_FOREX    | 🧠 Slow Loop iniciado
2026-01-05 13:35:39,251 | INFO     | XP3_FOREX    | ✅ Sistema ativo com watchdog e auditoria completa
2026-01-05 13:35:39,255 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:35:40,063 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:35:40,715 | INFO     | XP3_FOREX    | 📱 Telegram bot iniciado
2026-01-05 13:35:45,205 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:35:50,327 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:35:55,872 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:36:01,453 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:36:06,804 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:36:11,942 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:36:38,089 | INFO     | ml_optimizer | ✅ Histórico ML carregado: 73 trades válidos
2026-01-05 13:36:38,096 | INFO     | ml_optimizer | ✅ Q-table carregada: 7 símbolos
2026-01-05 13:36:38,097 | INFO     | ml_optimizer | ✅ ML Optimizer v3.1 inicializado
2026-01-05 13:36:38,099 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:36:38,099 | INFO     | XP3_FOREX    | 🚀 XP3 PRO FOREX BOT v4.0 - AUDITORIA COMPLETA
2026-01-05 13:36:38,099 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:36:38,104 | INFO     | XP3_FOREX    | 📊 Conta: 52659795 | Balance: $985,014.05
2026-01-05 13:36:38,105 | INFO     | XP3_FOREX    | 🚀 Fast Loop iniciado
2026-01-05 13:36:38,116 | INFO     | XP3_FOREX    | 🧠 Slow Loop iniciado
2026-01-05 13:36:38,125 | INFO     | XP3_FOREX    | ✅ Sistema ativo com watchdog e auditoria completa
2026-01-05 13:36:38,126 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:36:38,389 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:36:38,729 | INFO     | utils_forex  | ✅ Telegram bot inicializado
2026-01-05 13:36:38,730 | INFO     | XP3_FOREX    | 📱 Telegram bot iniciado
2026-01-05 13:36:43,567 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:36:48,735 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:36:53,865 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:36:59,046 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:37:04,205 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
